Age,Temperature,Condition,Clothing
40,38,windy,scarf
68,16,cloudy,jacket
5,32,sunny,t-shirt
92,59,cloudy,jacket
32,18,snowy,gloves
53,61,cloudy,sweater
23,49,cloudy,jeans
3,39,rainy,jacket
57,50,windy,jeans
15,50,rainy,hat
12,52,sunny,t-shirt
20,95,windy,t-shirt
74,47,windy,hat
36,66,rainy,raincoat
95,79,sunny,sweater
37,68,sunny,sneakers
71,87,sunny,shorts
52,24,sunny,raincoat
36,34,windy,sweater
62,31,snowy,gloves
94,45,windy,jeans
57,81,sunny,sneakers
93,64,windy,sneakers
37,54,windy,scarf
68,61,cloudy,raincoat
7,61,sunny,shorts
13,45,sunny,gloves
25,53,windy,t-shirt
9,31,sunny,gloves
68,58,cloudy,gloves
83,36,rainy,gloves
2,85,sunny,shorts
58,16,cloudy,sweater
92,83,sunny,t-shirt
97,100,sunny,t-shirt
84,55,cloudy,sneakers
10,64,sunny,shorts
71,35,windy,gloves
85,65,sunny,hat
85,52,rainy,hat
44,56,cloudy,jeans
7,47,snowy,gloves
56,74,sunny,raincoat
91,51,cloudy,coat
12,41,windy,sneakers
14,68,sunny,sneakers
74,28,snowy,gloves
36,40,cloudy,coat
38,13,sunny,t-shirt
42,27,snowy,coat
83,64,sunny,sweater
15,43,sunny,hat
19,20,sunny,gloves
24,44,windy,t-shirt
67,46,windy,scarf
13,38,cloudy,jeans
82,29,windy,coat
98,1,snowy,jeans
93,56,cloudy,gloves
50,18,sunny,hat
91,61,windy,jacket
56,33,windy,gloves
33,35,windy,raincoat
76,21,windy,gloves
19,40,windy,jacket
57,29,snowy,gloves
82,84,sunny,hat
63,28,snowy,boots
95,62,sunny,sweater
82,29,windy,hat
20,50,cloudy,sneakers
93,49,sunny,shorts
87,49,sunny,jacket
68,42,cloudy,hat
74,21,windy,gloves
43,87,sunny,t-shirt
36,49,sunny,scarf
27,21,snowy,boots
28,72,cloudy,t-shirt
15,62,windy,t-shirt
55,88,rainy,sneakers
13,22,snowy,boots
15,61,cloudy,sneakers
64,8,windy,jeans
22,43,cloudy,sweater
44,64,cloudy,sneakers
73,37,sunny,hat
32,73,sunny,t-shirt
66,25,snowy,scarf
88,61,windy,coat
58,14,sunny,hat
58,26,snowy,sneakers
42,62,windy,jeans
83,62,cloudy,sneakers
90,0,snowy,boots
18,15,snowy,hat
67,72,sunny,t-shirt
59,27,windy,scarf
6,31,sunny,boots
78,9,cloudy,boots
79,78,sunny,t-shirt
97,72,sunny,sneakers
64,7,windy,jeans
32,69,cloudy,sweater
83,54,cloudy,gloves
36,26,sunny,hat
7,14,cloudy,hat
34,65,windy,sneakers
46,66,windy,t-shirt
47,84,rainy,t-shirt
46,53,sunny,jacket
5,58,rainy,shorts
87,0,sunny,gloves
26,40,windy,hat
51,77,sunny,raincoat
22,92,sunny,sneakers
13,46,cloudy,jacket
72,46,rainy,sneakers
80,12,cloudy,coat
91,75,cloudy,sneakers
56,57,cloudy,jeans
95,45,cloudy,hat
45,81,sunny,t-shirt
73,30,snowy,boots
72,44,windy,jeans
54,30,snowy,raincoat
9,69,windy,sneakers
63,59,cloudy,jacket
11,36,rainy,sweater
17,55,sunny,t-shirt
4,48,windy,hat
59,96,cloudy,sneakers
35,62,windy,t-shirt
39,44,windy,raincoat
83,65,cloudy,jacket
80,59,windy,shorts
61,30,cloudy,boots
15,31,sunny,hat
93,15,sunny,jeans
52,2,snowy,boots
20,59,windy,sweater
38,59,windy,sneakers
6,0,snowy,coat
96,58,sunny,sweater
54,89,rainy,sneakers
68,82,cloudy,raincoat
70,53,sunny,jacket
13,64,rainy,jeans
98,89,cloudy,sneakers
59,41,rainy,scarf
37,32,windy,jeans
66,58,windy,coat
59,55,sunny,sweater
25,40,rainy,boots
33,55,cloudy,sweater
17,74,sunny,t-shirt
35,74,cloudy,jeans
73,74,sunny,shorts
88,17,cloudy,gloves
79,60,windy,sneakers
9,38,windy,sneakers
46,31,sunny,jacket
88,68,rainy,jeans
33,74,rainy,t-shirt
70,53,windy,scarf
65,55,cloudy,jeans
74,38,rainy,raincoat
74,59,cloudy,jeans
57,93,rainy,t-shirt
94,38,cloudy,jacket
53,73,sunny,shorts
2,60,windy,sneakers
54,74,windy,jeans
3,39,sunny,shorts
3,58,windy,sneakers
29,18,sunny,coat
34,55,windy,raincoat
4,75,rainy,hat
85,35,sunny,sweater
87,56,cloudy,sweater
19,70,windy,sweater
94,22,snowy,boots
34,10,windy,scarf
50,44,windy,sneakers
89,41,cloudy,gloves
73,53,rainy,jacket
63,74,cloudy,jacket
15,71,cloudy,sneakers
96,65,windy,hat
11,64,windy,shorts
70,50,sunny,jeans
62,29,sunny,scarf
5,100,cloudy,t-shirt
97,53,cloudy,sneakers
35,28,sunny,gloves
49,17,sunny,hat
21,48,cloudy,jacket
90,40,windy,jacket
95,22,windy,coat
16,26,sunny,gloves
28,44,sunny,sweater
23,79,rainy,raincoat
38,61,sunny,sweater
87,43,cloudy,jeans
30,86,rainy,t-shirt
30,76,sunny,t-shirt
15,47,windy,hat
98,11,snowy,jeans
4,10,cloudy,hat
27,44,sunny,shorts
12,11,windy,coat
90,52,sunny,t-shirt
73,52,windy,jacket
32,58,cloudy,jeans
89,41,windy,jacket
58,60,rainy,hat
8,0,sunny,t-shirt
55,43,sunny,shorts
98,49,cloudy,sneakers
95,25,snowy,jeans
75,75,sunny,t-shirt
80,24,windy,scarf
86,26,windy,hat
80,58,rainy,coat
49,16,cloudy,scarf
45,50,cloudy,sweater
32,82,sunny,t-shirt
53,65,sunny,shorts
82,71,windy,jeans
66,70,sunny,shorts
23,58,cloudy,jeans
67,8,windy,sweater
16,100,windy,t-shirt
8,77,rainy,raincoat
63,70,cloudy,jacket
59,37,cloudy,sneakers
35,83,sunny,shorts
29,26,windy,jacket
72,36,rainy,gloves
19,72,windy,t-shirt
95,63,cloudy,jeans
73,38,cloudy,hat
90,91,rainy,sneakers
56,45,rainy,sweater
61,40,rainy,coat
26,49,cloudy,sweater
21,26,windy,scarf
76,100,sunny,shorts
49,63,windy,jeans
3,100,rainy,jeans
85,58,cloudy,sweater
80,42,rainy,coat
51,15,cloudy,jeans
61,18,sunny,jeans
44,52,windy,jeans
90,28,snowy,t-shirt
37,70,sunny,t-shirt
33,43,cloudy,t-shirt
79,62,windy,t-shirt
96,88,sunny,t-shirt
79,88,sunny,sneakers
69,82,cloudy,jacket
1,5,sunny,sweater
75,41,rainy,sweater
86,37,rainy,boots
50,42,rainy,hat
49,84,sunny,jeans
46,51,cloudy,jacket
76,72,windy,t-shirt
57,43,rainy,hat
31,85,windy,t-shirt
7,69,sunny,jeans
24,22,snowy,boots
33,28,rainy,boots
80,91,cloudy,raincoat
67,37,cloudy,jeans
74,66,rainy,sweater
72,100,sunny,jacket
41,53,sunny,t-shirt
79,31,snowy,boots
88,54,cloudy,jeans
12,58,sunny,sneakers
47,68,windy,t-shirt
54,66,cloudy,sweater
44,21,windy,sneakers
20,0,snowy,coat
15,10,snowy,gloves
12,41,cloudy,jacket
15,46,snowy,jeans
2,60,rainy,boots
74,61,windy,t-shirt
28,60,windy,jeans
81,91,sunny,sneakers
77,44,cloudy,t-shirt
52,64,cloudy,sneakers
72,9,sunny,jacket
65,60,windy,scarf
82,42,windy,raincoat
60,45,snowy,coat
16,58,rainy,boots
21,8,cloudy,boots
3,97,sunny,shorts
49,39,windy,raincoat
36,15,cloudy,jacket
28,53,sunny,jacket
5,63,windy,t-shirt
86,72,cloudy,jeans
45,40,windy,sneakers
19,50,sunny,t-shirt
62,51,windy,t-shirt
19,61,cloudy,t-shirt
33,59,cloudy,sneakers
65,22,snowy,scarf
67,45,rainy,jacket
36,24,windy,gloves
30,28,windy,boots
50,22,windy,scarf
27,58,sunny,sweater
85,33,snowy,coat
77,18,snowy,jeans
3,82,sunny,t-shirt
92,39,rainy,raincoat
79,26,snowy,jacket
4,38,cloudy,gloves
87,100,cloudy,shorts
29,87,rainy,t-shirt
80,39,rainy,jeans
62,31,windy,jeans
36,40,windy,raincoat
25,39,rainy,shorts
86,64,sunny,jeans
55,51,cloudy,jacket
64,41,sunny,gloves
29,27,snowy,boots
60,19,snowy,jacket
62,36,rainy,raincoat
59,58,windy,t-shirt
4,9,snowy,boots
56,46,windy,jacket
33,74,sunny,shorts
52,86,sunny,t-shirt
9,73,cloudy,sneakers
7,52,sunny,shorts
97,32,cloudy,coat
8,28,snowy,jeans
81,47,rainy,sneakers
34,10,windy,coat
49,98,cloudy,sneakers
64,71,cloudy,sneakers
94,30,snowy,scarf
41,68,sunny,t-shirt
57,31,cloudy,jeans
43,48,sunny,jacket
62,100,cloudy,t-shirt
53,29,sunny,jeans
94,62,sunny,jeans
5,57,sunny,jeans
3,71,sunny,sneakers
18,62,windy,coat
76,59,sunny,t-shirt
82,54,sunny,jacket
33,67,windy,t-shirt
59,7,cloudy,jacket
91,85,sunny,raincoat
28,71,cloudy,sneakers
30,16,snowy,jacket
3,39,windy,jeans
88,38,rainy,scarf
7,40,windy,sweater
40,0,snowy,scarf
62,62,rainy,raincoat
79,43,windy,jacket
62,17,sunny,coat
10,26,windy,hat
16,0,snowy,coat
18,41,sunny,t-shirt
79,81,windy,t-shirt
86,30,snowy,gloves
74,0,windy,scarf
59,44,rainy,boots
73,50,cloudy,jeans
21,45,rainy,coat
38,32,windy,jacket
86,42,rainy,coat
91,25,windy,jeans
74,35,snowy,jacket
65,0,sunny,coat
21,0,windy,boots
4,54,windy,sneakers
44,18,windy,gloves
72,40,snowy,boots
22,27,snowy,hat
58,50,cloudy,t-shirt
69,5,snowy,scarf
82,0,snowy,coat
33,39,cloudy,jeans
18,86,sunny,t-shirt
8,9,windy,gloves
97,33,rainy,coat
58,45,rainy,sneakers
12,83,sunny,t-shirt
83,51,windy,hat
8,63,cloudy,jeans
57,16,snowy,boots
2,20,windy,scarf
32,65,sunny,sneakers
52,60,rainy,coat
39,50,cloudy,jeans
77,0,sunny,coat
61,64,cloudy,jeans
20,34,cloudy,hat
40,0,snowy,coat
68,50,cloudy,jeans
69,32,cloudy,boots
37,29,snowy,boots
59,29,cloudy,hat
63,15,snowy,hat
82,67,sunny,t-shirt
27,71,windy,scarf
96,72,cloudy,hat
77,4,windy,boots
34,25,snowy,gloves
84,42,cloudy,jeans
65,94,rainy,boots
37,43,windy,raincoat
60,31,sunny,jeans
89,55,rainy,jeans
43,31,sunny,hat
19,72,windy,t-shirt
13,47,cloudy,jacket
75,49,cloudy,scarf
76,46,cloudy,jacket
12,0,sunny,jeans
56,35,windy,jacket
5,0,snowy,boots
96,47,cloudy,hat
34,49,rainy,jacket
44,69,cloudy,shorts
24,29,sunny,coat
11,38,windy,raincoat
34,19,sunny,jacket
63,40,rainy,gloves
2,36,rainy,raincoat
81,58,cloudy,hat
41,31,cloudy,sneakers
20,52,rainy,jeans
38,29,sunny,boots
39,28,windy,gloves
89,48,rainy,sneakers
58,58,sunny,jacket
84,44,snowy,coat
68,45,cloudy,coat
29,69,windy,t-shirt
79,0,snowy,boots
25,74,sunny,sneakers
11,52,windy,sneakers
31,39,cloudy,sweater
31,93,sunny,jeans
86,23,cloudy,gloves
23,35,cloudy,gloves
7,78,sunny,sneakers
91,29,snowy,coat
58,34,snowy,sweater
24,11,snowy,coat
93,66,rainy,sneakers
13,38,cloudy,jeans
66,65,sunny,shorts
16,49,sunny,sneakers
47,45,rainy,jeans
79,50,cloudy,jacket
14,37,windy,scarf
19,44,cloudy,coat
52,59,cloudy,t-shirt
27,21,sunny,jeans
63,17,sunny,coat
83,16,windy,boots
85,5,windy,coat
89,0,snowy,hat
23,57,sunny,jeans
23,76,windy,shorts
35,98,rainy,sneakers
52,5,windy,jacket
37,34,sunny,hat
85,21,sunny,coat
63,22,snowy,scarf
16,26,snowy,gloves
59,58,sunny,t-shirt
74,35,cloudy,sweater
43,45,windy,jeans
7,20,cloudy,gloves
9,70,rainy,shorts
96,50,windy,jeans
44,59,sunny,raincoat
42,60,rainy,hat
96,33,snowy,t-shirt
45,93,sunny,shorts
66,1,windy,hat
64,38,windy,jeans
50,38,cloudy,jacket
33,15,windy,gloves
13,100,sunny,shorts
14,18,snowy,scarf
63,12,snowy,jeans
1,24,snowy,hat
75,0,snowy,hat
52,47,rainy,raincoat
47,40,windy,hat
14,55,cloudy,sneakers
1,48,windy,jeans
43,17,cloudy,jacket
65,13,sunny,boots
8,49,snowy,raincoat
7,49,cloudy,sweater
66,66,sunny,sweater
64,33,sunny,gloves
43,92,cloudy,sneakers
8,52,windy,jeans
92,3,snowy,hat
5,55,cloudy,sneakers
36,28,rainy,sweater
12,59,cloudy,jeans
31,36,windy,scarf
51,59,sunny,jacket
55,34,sunny,hat
93,74,rainy,sneakers
29,61,windy,jacket
91,16,sunny,boots
60,17,cloudy,hat
1,73,sunny,hat
42,9,windy,boots
50,70,rainy,raincoat
10,68,sunny,jeans
86,0,rainy,boots
13,84,cloudy,sneakers
1,30,cloudy,coat
25,81,sunny,sneakers
48,13,sunny,hat
80,43,cloudy,boots
21,66,sunny,shorts
37,51,cloudy,jeans
76,19,snowy,hat
52,62,cloudy,hat
52,0,snowy,coat
2,42,cloudy,shorts
2,27,cloudy,jacket
71,11,snowy,jacket
21,66,rainy,jeans
51,34,cloudy,coat
19,33,rainy,jeans
38,100,rainy,boots
82,39,rainy,jeans
40,52,cloudy,sneakers
4,35,cloudy,jeans
50,78,cloudy,sneakers
69,40,cloudy,jeans
98,87,rainy,t-shirt
14,100,rainy,t-shirt
97,35,snowy,coat
64,48,rainy,raincoat
67,91,sunny,jacket
71,29,windy,scarf
9,59,sunny,shorts
81,42,rainy,scarf
82,41,sunny,shorts
28,56,windy,sneakers
17,47,rainy,raincoat
78,49,snowy,gloves
20,38,cloudy,t-shirt
68,7,sunny,boots
55,49,windy,jacket
93,76,rainy,gloves
72,21,sunny,coat
64,22,snowy,jeans
74,49,cloudy,gloves
8,100,cloudy,t-shirt
72,65,windy,sneakers
92,26,snowy,hat
20,62,sunny,shorts
53,61,rainy,raincoat
54,27,cloudy,hat
64,54,windy,hat
23,81,cloudy,sneakers
69,69,sunny,sneakers
75,40,sunny,coat
3,72,cloudy,sneakers
54,38,sunny,jacket
12,54,sunny,jeans
18,14,cloudy,coat
2,89,sunny,t-shirt
90,53,rainy,sneakers
92,47,rainy,raincoat
67,85,rainy,t-shirt
60,61,windy,sweater
88,0,cloudy,jacket
75,66,sunny,t-shirt
53,62,windy,scarf
13,28,windy,jeans
51,39,rainy,boots
51,66,sunny,shorts
80,38,snowy,coat
59,38,rainy,sweater
96,47,rainy,jeans
74,51,rainy,gloves
76,25,cloudy,coat
35,59,rainy,shorts
82,56,windy,jeans
77,43,cloudy,jacket
60,47,rainy,jeans
69,20,windy,boots
78,19,snowy,coat
25,71,sunny,jeans
82,70,windy,scarf
17,34,cloudy,jeans
4,30,cloudy,coat
20,22,snowy,gloves
76,72,windy,raincoat
25,70,sunny,jeans
97,23,sunny,jeans
76,54,windy,jacket
84,38,cloudy,coat
72,48,sunny,scarf
88,67,sunny,shorts
84,38,windy,jeans
33,52,rainy,boots
83,49,rainy,jeans
90,71,cloudy,coat
31,55,sunny,sneakers
56,45,rainy,hat
15,65,sunny,t-shirt
46,15,snowy,coat
69,47,cloudy,gloves
96,23,windy,boots
72,71,sunny,hat
93,75,sunny,hat
96,45,cloudy,boots
73,39,windy,boots
36,28,windy,coat
79,87,cloudy,t-shirt
12,45,rainy,jacket
88,78,rainy,t-shirt
88,53,windy,hat
35,44,cloudy,coat
88,72,sunny,shorts
70,38,cloudy,hat
41,21,cloudy,jeans
84,41,windy,coat
74,38,cloudy,sneakers
13,0,snowy,sweater
27,72,sunny,jeans
70,59,windy,coat
6,47,rainy,raincoat
97,37,windy,coat
31,75,sunny,shorts
6,36,cloudy,sneakers
36,51,windy,sneakers
30,62,rainy,sneakers
82,83,sunny,coat
26,59,cloudy,coat
20,44,cloudy,raincoat
25,44,rainy,raincoat
12,66,sunny,t-shirt
22,38,rainy,jacket
54,74,windy,sneakers
71,53,cloudy,shorts
82,55,cloudy,coat
37,75,rainy,sneakers
29,71,rainy,shorts
22,0,windy,boots
78,100,sunny,sneakers
6,31,sunny,t-shirt
34,44,sunny,scarf
92,100,sunny,sneakers
85,22,sunny,jeans
56,58,sunny,shorts
56,100,rainy,sneakers
7,37,cloudy,jeans
87,45,rainy,jacket
69,49,cloudy,jeans
88,54,cloudy,t-shirt
25,100,cloudy,jeans
86,39,windy,scarf
16,48,cloudy,sweater
48,94,sunny,t-shirt
75,68,sunny,sneakers
34,72,sunny,jeans
51,28,snowy,gloves
23,27,snowy,boots
51,77,sunny,t-shirt
84,58,rainy,jacket
48,40,cloudy,sweater
81,30,sunny,jeans
27,40,cloudy,sweater
34,76,sunny,raincoat
6,10,windy,gloves
24,40,rainy,scarf
66,67,rainy,shorts
28,49,windy,coat
93,47,sunny,jeans
22,100,rainy,sneakers
94,34,cloudy,hat
31,17,sunny,gloves
57,14,rainy,hat
30,0,sunny,raincoat
91,68,rainy,t-shirt
41,49,sunny,sweater
91,86,sunny,sneakers
29,82,sunny,sneakers
67,49,rainy,boots
73,40,sunny,jeans
17,76,sunny,sneakers
70,80,windy,sneakers
9,61,cloudy,t-shirt
97,27,snowy,jeans
81,82,sunny,coat
98,100,sunny,jacket
73,34,snowy,jacket
59,44,cloudy,jeans
84,42,cloudy,coat
75,38,windy,jeans
33,71,sunny,jeans
80,21,cloudy,scarf
29,36,sunny,sweater
54,60,windy,scarf
16,45,sunny,t-shirt
98,70,sunny,raincoat
27,6,snowy,scarf
10,63,cloudy,t-shirt
80,31,windy,jeans
1,49,rainy,gloves
48,87,windy,raincoat
87,0,sunny,scarf
87,18,rainy,jacket
74,33,cloudy,boots
41,86,windy,sneakers
83,65,sunny,sneakers
31,70,sunny,shorts
49,68,sunny,sweater
43,53,cloudy,sweater
50,46,sunny,sneakers
62,28,rainy,boots
13,52,cloudy,hat
24,72,rainy,sweater
77,79,rainy,jacket
24,34,snowy,jeans
70,60,windy,sneakers
11,20,snowy,boots
58,52,cloudy,jeans
80,53,cloudy,jacket
11,58,sunny,t-shirt
35,60,cloudy,hat
15,15,windy,gloves
94,35,windy,gloves
75,75,cloudy,t-shirt
14,62,rainy,boots
57,71,sunny,t-shirt
66,97,cloudy,sneakers
87,55,rainy,hat
23,62,windy,t-shirt
88,84,sunny,sneakers
29,17,snowy,boots
72,14,snowy,boots
15,42,sunny,t-shirt
78,28,sunny,jacket
67,25,snowy,boots
43,90,sunny,sneakers
81,22,sunny,t-shirt
93,87,rainy,t-shirt
51,85,windy,t-shirt
84,33,windy,raincoat
36,58,windy,sneakers
30,58,sunny,jeans
67,29,snowy,jeans
93,46,rainy,jacket
63,40,cloudy,gloves
86,88,sunny,coat
73,27,windy,coat
9,54,sunny,sneakers
20,21,cloudy,jacket
84,100,cloudy,sneakers
68,47,windy,hat
82,51,sunny,t-shirt
27,0,cloudy,scarf
74,74,rainy,sneakers
15,69,rainy,raincoat
37,38,cloudy,jacket
33,66,sunny,t-shirt
8,51,windy,scarf
58,50,windy,sneakers
59,68,sunny,sneakers
63,88,cloudy,jeans
28,39,windy,jeans
66,80,cloudy,sneakers
68,67,sunny,sweater
8,18,cloudy,gloves
27,99,rainy,t-shirt
82,65,rainy,jeans
18,61,cloudy,shorts
19,54,windy,sweater
53,21,cloudy,jeans
41,69,rainy,boots
52,63,sunny,coat
72,51,rainy,hat
27,47,cloudy,jeans
17,36,cloudy,jeans
85,7,snowy,gloves
34,54,cloudy,scarf
21,59,sunny,sneakers
95,47,cloudy,raincoat
60,55,cloudy,sweater
49,57,rainy,t-shirt
23,67,cloudy,jacket
22,48,windy,jeans
27,33,cloudy,sweater
52,23,snowy,gloves
57,57,rainy,boots
73,38,cloudy,coat
75,60,sunny,shorts
92,35,sunny,boots
70,52,rainy,sweater
13,29,snowy,gloves
10,34,windy,sweater
85,57,sunny,coat
75,77,windy,jeans
46,37,windy,gloves
24,49,cloudy,sweater
38,60,sunny,hat
75,26,cloudy,boots
83,67,sunny,jeans
14,43,windy,sweater
29,61,windy,t-shirt
44,33,windy,sneakers
24,41,windy,jeans
92,17,windy,sweater
35,80,rainy,sneakers
23,100,sunny,t-shirt
4,36,cloudy,hat
48,29,cloudy,coat
54,48,windy,scarf
6,0,snowy,gloves
34,16,snowy,jacket
19,47,cloudy,jeans
77,37,rainy,coat
30,40,cloudy,shorts
79,27,snowy,boots
36,100,sunny,sneakers
54,66,sunny,sneakers
30,28,cloudy,coat
19,78,windy,shorts
5,100,sunny,raincoat
55,80,rainy,shorts
84,68,sunny,jeans
