Age,Temperature,Condition,Activity
5,49,rainy,play board games
69,62,sunny,swim
88,47,sunny,garden
40,55,rainy,picnic
3,0,cloudy,play board games
42,38,sunny,read
45,72,cloudy,garden
57,21,windy,run
93,82,cloudy,picnic
32,46,cloudy,read
6,42,sunny,play board games
33,68,cloudy,read
2,63,sunny,read
58,36,sunny,garden
47,41,rainy,picnic
5,29,sunny,picnic
59,54,cloudy,fly kites
74,67,windy,swim
55,69,sunny,hike
88,45,sunny,read
26,48,sunny,picnic
24,57,sunny,garden
29,76,sunny,picnic
37,25,sunny,read
46,58,sunny,hike
76,69,windy,read
98,64,cloudy,garden
45,59,windy,fly kites
53,49,rainy,play board games
33,72,sunny,hike
52,46,sunny,hike
28,68,rainy,run
92,92,sunny,swim
91,50,cloudy,picnic
23,27,snowy,play board games
90,61,rainy,read
49,55,windy,hike
33,29,snowy,read
43,51,windy,run
90,53,windy,play board games
60,42,sunny,play board games
16,6,snowy,read
95,46,cloudy,play board games
65,46,sunny,read
3,53,windy,fly kites
34,65,cloudy,hike
35,40,cloudy,garden
82,60,rainy,read
2,88,sunny,play board games
16,73,cloudy,hike
70,39,rainy,fly kites
49,50,cloudy,hike
4,44,rainy,swim
93,25,snowy,play board games
71,70,sunny,garden
84,60,windy,hike
28,55,cloudy,run
79,56,rainy,read
89,43,cloudy,play board games
11,25,snowy,play board games
37,0,windy,fly kites
2,36,cloudy,play board games
83,43,windy,play board games
15,9,snowy,fly kites
64,71,sunny,garden
82,35,windy,play board games
8,62,cloudy,hike
37,71,windy,read
9,53,rainy,hike
93,40,windy,play board games
27,49,cloudy,read
40,65,sunny,picnic
65,71,sunny,hike
71,53,sunny,picnic
81,99,sunny,picnic
44,30,windy,play board games
28,32,cloudy,play board games
82,85,rainy,garden
81,84,sunny,picnic
65,30,sunny,read
79,53,sunny,play board games
43,53,cloudy,swim
5,82,sunny,hike
25,93,sunny,hike
38,67,rainy,hike
28,13,sunny,garden
61,82,sunny,hike
54,39,rainy,read
47,46,windy,run
58,93,windy,fly kites
67,82,rainy,hike
6,21,cloudy,hike
29,27,windy,play board games
52,47,sunny,hike
21,60,sunny,picnic
82,25,snowy,read
17,60,cloudy,garden
43,81,sunny,garden
63,46,windy,play board games
79,47,snowy,play board games
5,26,sunny,hike
50,54,windy,garden
40,59,windy,picnic
12,58,sunny,garden
85,42,windy,picnic
39,31,snowy,read
74,68,sunny,garden
51,67,rainy,play board games
77,55,windy,read
22,54,rainy,read
64,48,rainy,play board games
73,30,snowy,read
43,50,sunny,garden
34,76,rainy,play board games
48,33,rainy,read
71,42,windy,play board games
1,48,windy,picnic
23,63,rainy,run
54,48,windy,fly kites
87,33,windy,read
58,33,snowy,read
6,58,sunny,hike
70,55,rainy,play board games
48,30,snowy,play board games
72,63,cloudy,play board games
21,63,cloudy,play board games
46,51,sunny,fly kites
62,87,sunny,garden
77,83,rainy,swim
53,53,cloudy,hike
43,60,cloudy,fly kites
24,5,snowy,play board games
2,70,windy,swim
31,37,rainy,picnic
22,34,rainy,picnic
50,60,rainy,run
78,50,sunny,picnic
5,40,rainy,read
24,74,sunny,run
3,37,windy,play board games
44,86,sunny,hike
8,91,sunny,hike
90,67,windy,picnic
54,0,snowy,play board games
53,37,rainy,play board games
87,20,snowy,read
42,21,windy,hike
50,49,windy,fly kites
66,46,windy,read
83,90,sunny,swim
14,68,sunny,picnic
25,35,windy,fly kites
82,43,rainy,hike
1,34,windy,swim
27,88,sunny,picnic
83,84,windy,fly kites
32,0,snowy,fly kites
42,100,rainy,swim
93,54,sunny,garden
58,64,sunny,read
5,46,cloudy,hike
18,38,rainy,read
35,47,cloudy,fly kites
73,33,rainy,play board games
83,93,windy,hike
60,63,sunny,hike
21,54,sunny,picnic
24,100,rainy,swim
27,19,windy,fly kites
40,45,windy,fly kites
66,5,snowy,play board games
63,0,windy,play board games
55,59,sunny,garden
63,32,windy,read
43,81,windy,run
31,48,cloudy,read
36,44,rainy,read
22,34,cloudy,play board games
32,59,windy,fly kites
33,79,cloudy,hike
11,88,sunny,hike
67,93,sunny,read
71,65,rainy,read
63,58,rainy,play board games
4,37,windy,play board games
2,60,windy,read
52,100,sunny,fly kites
64,40,snowy,play board games
11,20,snowy,play board games
16,84,rainy,run
21,73,sunny,play board games
71,0,windy,fly kites
1,4,sunny,play board games
45,97,cloudy,swim
67,54,cloudy,read
59,67,sunny,hike
49,73,rainy,read
32,45,sunny,read
11,50,rainy,swim
19,43,rainy,garden
1,42,windy,play board games
44,54,sunny,picnic
34,36,rainy,read
52,37,cloudy,garden
98,61,rainy,read
12,44,windy,play board games
61,100,rainy,play board games
49,78,sunny,run
27,59,cloudy,fly kites
44,64,sunny,hike
66,48,rainy,play board games
21,49,rainy,read
77,47,rainy,hike
54,52,cloudy,hike
69,93,cloudy,garden
88,43,windy,read
42,0,sunny,read
13,58,cloudy,picnic
60,77,sunny,run
45,63,cloudy,read
67,23,windy,read
18,57,sunny,picnic
93,64,sunny,play board games
80,12,cloudy,play board games
78,0,sunny,garden
28,12,sunny,play board games
3,37,cloudy,swim
22,64,sunny,read
47,48,cloudy,run
58,24,rainy,play board games
77,86,cloudy,swim
22,75,sunny,swim
15,30,rainy,read
40,26,snowy,read
7,43,cloudy,hike
29,75,sunny,picnic
13,29,windy,play board games
11,50,cloudy,play board games
25,98,windy,hike
56,28,snowy,read
50,52,cloudy,read
17,87,cloudy,garden
32,17,sunny,fly kites
60,9,windy,read
16,37,snowy,read
58,73,sunny,hike
86,79,sunny,swim
74,37,cloudy,hike
31,24,windy,fly kites
75,63,sunny,garden
53,57,cloudy,garden
40,89,cloudy,garden
59,0,cloudy,play board games
51,65,sunny,garden
38,27,snowy,read
61,10,snowy,play board games
51,41,windy,hike
56,17,cloudy,run
50,46,rainy,run
40,71,windy,fly kites
28,84,sunny,hike
26,49,sunny,hike
34,12,windy,fly kites
54,10,snowy,play board games
33,23,snowy,play board games
89,51,windy,fly kites
47,85,windy,garden
82,100,sunny,garden
22,37,windy,fly kites
82,42,rainy,play board games
46,29,snowy,read
21,71,sunny,hike
6,75,sunny,hike
69,59,sunny,read
56,48,rainy,read
46,53,rainy,read
25,66,cloudy,picnic
66,38,rainy,read
74,91,rainy,swim
64,32,rainy,fly kites
79,44,windy,read
15,56,rainy,read
34,36,rainy,read
68,49,windy,fly kites
95,33,windy,play board games
42,28,windy,play board games
22,63,rainy,read
52,89,cloudy,swim
15,94,rainy,read
20,66,sunny,play board games
83,52,rainy,play board games
96,72,windy,garden
56,30,rainy,read
96,67,windy,swim
50,97,cloudy,run
32,50,cloudy,run
55,36,windy,fly kites
59,0,sunny,hike
29,57,rainy,play board games
5,61,cloudy,run
12,66,sunny,hike
1,50,rainy,fly kites
55,40,cloudy,garden
81,4,snowy,play board games
90,68,sunny,read
79,67,cloudy,play board games
4,98,rainy,swim
1,100,sunny,picnic
83,50,windy,read
73,57,cloudy,read
36,41,rainy,read
45,57,windy,swim
7,36,cloudy,swim
62,52,windy,hike
54,41,windy,fly kites
37,16,cloudy,read
29,50,windy,hike
65,31,sunny,garden
47,88,sunny,play board games
65,38,cloudy,garden
42,51,sunny,read
12,0,windy,read
44,28,cloudy,read
83,60,rainy,picnic
66,39,windy,read
64,54,cloudy,read
29,77,cloudy,hike
94,24,snowy,play board games
89,36,rainy,read
31,33,cloudy,run
67,60,windy,play board games
81,0,sunny,fly kites
33,75,sunny,picnic
96,25,sunny,read
61,59,windy,play board games
34,15,cloudy,read
88,70,sunny,picnic
69,40,rainy,play board games
11,58,rainy,run
62,57,sunny,play board games
45,100,cloudy,swim
76,42,rainy,play board games
33,78,sunny,play board games
85,62,cloudy,picnic
43,85,sunny,hike
86,64,cloudy,hike
88,58,cloudy,play board games
65,68,sunny,garden
93,44,windy,fly kites
67,33,sunny,read
93,64,rainy,play board games
34,8,sunny,play board games
30,60,windy,run
48,36,rainy,read
